@attribute X24641 numeric
@attribute X24869 numeric
@attribute X25094 numeric
@attribute X25871 numeric
@attribute X26930 numeric
@attribute X26984 numeric
@attribute X27138 numeric
@attribute X28128 numeric
@attribute X28346 numeric
@attribute pulm.columns.disease.state {'PF + intermediate PH','PF + no PH','PF + severe PH'}

@data

3.16987,5.01714,8.05197,7.75524,4.88204,8.31699,5.58582,5.15506,4.29332,2.82058,8.75035,6.52122,7.49396,4.86422,8.5775,4.87719,12.0079,5.30808,7.25864,6.48921,6.62668,6.75765,7.43871,7.26629,5.03616,7.69134,7.19025,6.3537,11.4388,2.03314,5.55454,9.84894,4.93803,8.13004,5.46784,6.38553,5.6884,2.6079,6.44873,4.78989,7.34544,6.07922,8.5625,8.20909,5.0377,5.75197,3.7074,8.41578,8.19047,6.23441,6.6396,7.65449,5.44195,5.26928,5.70391,7.79897,3.12656,10.092,8.92397,8.32709,8.78001,6.00601,6.35566,7.2663,5.37624,6.33349,4.3893,3.81724,4.9077,5.06815,6.12384,11.8851,8.15238,5.34261,6.16324,3.58209,8.10219,7.28347,4.1544,7.69787,6.65928,5.05482,4.82428,4.84861,9.99151,6.50754,7.46311,5.59616,4.77418,7.92944,6.16953,7.34379,7.37993,5.84969,8.92342,8.11792,6.97596,7.25655,6.25688,5.60768,'PF + severe PH'
3.73988,5.45031,8.13928,7.67842,5.23205,7.59609,5.81798,5.4025,4.6577,3.16225,8.62589,6.24922,7.58858,4.84609,8.64227,5.59947,12.0987,5.4183,7.32852,6.52353,6.88643,7.32634,7.17105,7.04336,5.02236,7.43737,7.28221,6.40425,11.4466,2.60901,6.12819,10.0581,4.6795,8.23011,5.64698,6.14641,5.64801,2.39454,6.27221,4.95698,7.42471,6.17619,8.53505,7.94689,5.48263,5.93492,4.53129,8.41549,7.62555,6.50211,6.75988,7.66158,5.55251,5.61046,6.18668,7.35285,3.59799,10.2589,8.94038,8.13526,8.59362,6.41716,6.37294,7.39827,5.59461,6.23649,4.49207,3.4844,4.73603,5.95393,6.51563,11.9981,8.20141,5.42238,6.37473,4.23951,7.65972,7.07698,4.89822,7.59854,6.57829,4.89344,5.3393,4.9823,9.95515,6.81566,7.47053,5.95496,4.73048,8.03018,6.31625,7.00613,7.16667,5.94358,9.08633,8.43185,7.00683,6.83264,6.36501,5.76716,'PF + severe PH'
3.90438,5.58213,8.22103,8.05363,5.05658,7.87714,5.75235,5.44452,4.99966,3.01045,8.70052,6.28081,7.43866,5.13239,8.59438,5.3406,12.1066,5.51972,7.32724,6.48605,6.94181,7.28556,6.79681,6.77941,5.17892,7.31597,6.92733,6.63356,11.4792,2.27947,6.01212,9.74875,5.00665,7.96847,5.6843,6.44528,5.48585,2.90937,6.73562,5.25924,7.16461,6.42554,8.38858,7.95658,5.57111,6.47421,4.24382,8.39639,7.57732,6.90866,6.89249,7.51992,5.56261,5.6047,6.23509,7.69136,3.64664,10.1419,9.06794,8.07907,8.5676,6.55844,6.48228,7.00823,5.39367,6.53865,4.23401,3.71104,4.76942,5.82802,6.2649,11.8316,7.94921,5.70767,6.24034,4.27625,7.72403,7.0055,4.72304,7.66465,6.46572,5.66167,5.16306,5.26814,9.84277,6.55848,7.54282,5.96842,5.2759,8.0507,6.21288,7.20905,7.44232,6.18667,9.09336,8.06689,6.81393,6.90386,6.44926,5.72384,'PF + severe PH'
3.61931,6.01152,8.05908,7.71242,5.15777,8.15143,5.89158,5.27103,4.52644,3.39012,8.48714,5.99951,7.46486,5.37993,8.52715,5.18385,11.9332,5.63265,7.52036,6.63694,6.65811,6.98777,7.10859,7.15233,4.658,7.5023,7.00092,6.00731,11.4558,2.90286,5.78522,9.89944,4.78855,8.32858,5.71123,6.4101,5.49547,2.29583,6.33058,4.9546,7.59337,6.36947,8.46039,8.07796,5.44526,5.87245,3.4658,8.31303,7.659,6.3674,6.70719,7.36971,5.40275,5.41452,6.21887,10.3985,3.58982,10.4394,8.98851,8.15556,8.88655,5.87492,6.41512,7.15207,5.09056,6.40772,4.43113,4.15571,4.60953,5.58319,6.40673,11.9331,8.22847,5.36662,6.24034,4.49106,7.57058,6.9953,4.15408,7.5127,6.3289,4.52695,4.92283,5.06163,10.0028,6.59909,7.64213,5.70029,4.78653,8.18423,6.22231,7.13922,7.45076,6.06286,9.10591,8.15001,6.65582,7.09988,5.96734,5.85099,'PF + severe PH'
4.09488,5.10263,8.40616,7.87128,4.78635,7.77049,5.62624,5.04916,4.38807,3.39172,8.93866,6.60564,7.51876,4.81716,8.44727,5.27955,11.8434,5.46863,7.02887,6.6251,6.51995,6.39215,7.15824,6.86725,4.89937,7.46994,7.10472,6.59999,11.2892,2.25506,5.7143,9.7222,5.30901,8.1613,5.19182,6.25106,5.85746,2.98078,6.32141,5.21871,7.39192,6.38111,8.60327,8.26373,5.57581,5.8909,4.63569,8.62793,7.67845,6.54204,6.64297,7.69305,5.65735,5.59779,5.82328,7.52608,3.47416,10.1917,9.03366,8.2664,8.50589,6.03865,6.06315,6.54873,5.41124,6.11263,4.5161,4.01258,4.95804,5.18841,6.06036,11.7503,8.20216,5.50647,6.386,4.50717,7.7799,7.37748,4.03077,7.76739,6.41933,4.82965,5.07602,4.91044,10.4037,6.51271,7.74853,5.9731,5.00698,7.71941,6.01784,7.29084,7.21886,5.96923,9.23514,8.40761,6.88055,7.12285,6.64721,5.71121,'PF + severe PH'
3.80865,5.42001,8.53406,7.94748,5.18309,7.83402,5.73792,4.99651,4.37218,3.53066,8.8981,6.15566,7.63399,5.29517,8.51154,4.9361,12.1116,5.28039,7.09504,6.64384,6.58934,6.64726,7.08109,6.79281,4.9617,7.74795,7.18366,6.34283,11.6251,2.42998,5.66589,9.80976,5.19431,8.18418,5.57573,6.96077,5.55083,2.56895,6.48015,5.28536,7.53859,6.47678,8.59201,8.10982,5.34088,5.22831,6.63818,8.33151,7.88677,6.39738,6.47768,7.84616,5.4598,5.00067,5.82183,8.09814,3.10833,10.5059,8.91818,8.20697,8.67003,5.51932,6.27233,7.20596,5.01418,6.04915,4.37648,3.5628,5.05708,5.59629,6.36133,11.8718,8.61043,5.22268,6.18495,4.1134,7.57221,7.15614,4.07834,7.57004,6.37429,4.93935,5.2424,4.58474,10.2691,6.99593,7.59945,5.76382,4.74194,7.87893,6.18621,7.19408,7.19564,5.99046,9.25759,8.36251,6.29878,6.96717,6.4671,5.46671,'PF + severe PH'
3.79417,6.46904,7.60894,7.73374,5.40219,8.3232,5.83676,5.38303,5.15781,3.41104,8.63121,6.69457,7.46768,5.40284,8.49556,5.3863,11.9561,5.54007,7.43961,6.71975,6.69344,6.71516,6.95289,6.86055,5.16394,7.59044,7.13537,5.35293,11.4447,2.1223,6.15935,9.79759,4.92651,8.33685,5.87893,6.07693,5.543,2.5402,6.65436,5.0373,7.23506,6.667,8.50202,7.68924,5.57605,6.3718,3.94619,8.30958,7.60088,6.49609,7.06316,7.26577,5.54317,5.76586,6.39394,10.8311,3.85732,10.3223,8.98731,8.13092,8.68419,5.45404,6.64548,7.07114,5.35587,6.57704,4.56217,3.7344,5.06399,5.83515,6.22305,11.6072,8.22547,5.60409,6.21859,5.25242,7.63421,7.26726,4.45167,7.19163,6.20837,4.7583,5.39597,5.19346,9.95356,6.65266,7.54209,5.74072,4.63203,8.24941,6.38731,7.03265,7.43859,5.97576,9.2249,8.08612,6.50133,7.02755,6.18714,6.35102,'PF + severe PH'
3.67582,5.4865,8.2343,7.83908,5.00531,7.19126,5.89245,5.06101,4.28532,3.26176,8.90946,6.42737,7.52095,5.09824,8.56843,5.06092,12.0555,5.16832,6.97949,6.50634,6.73876,6.71119,7.1355,7.05337,5.08618,7.55208,7.36697,5.80891,11.4528,2.26327,5.76961,9.76975,4.86325,8.12983,5.68528,6.37178,5.23879,2.38003,6.51573,4.97146,7.39558,6.37804,8.43387,8.08259,5.36601,5.94573,6.02472,8.51651,7.86628,6.4351,6.53775,7.72063,5.70538,5.27533,6.05342,7.69589,3.71292,10.228,8.74667,8.23968,8.68052,5.38742,6.39259,6.76183,5.63039,6.0699,4.34967,4.01864,4.42363,5.78628,6.24783,11.9879,8.48249,5.24544,6.32301,4.31516,7.81508,7.17765,4.26461,7.49943,6.54704,4.50543,4.75563,4.77169,10.271,6.77107,7.56163,6.02934,4.65225,7.96207,6.26509,7.21817,7.31327,5.86129,9.10095,8.16122,6.25395,7.20444,6.10365,5.31408,'PF + severe PH'
3.65217,5.35873,7.62661,8.03675,4.91414,6.83883,5.67101,5.49986,4.69799,3.64285,8.83375,6.10444,7.58791,5.20171,8.48443,5.49596,11.8842,5.77611,7.12822,6.54007,6.70464,6.45078,7.54624,7.31347,4.4642,8.09581,7.08581,5.88222,11.6055,2.66819,5.98582,9.66612,4.46201,8.0649,5.44476,5.90616,5.72342,3.0954,7.06099,4.63911,7.96502,6.60332,8.10145,8.10872,5.58885,6.05635,6.07955,8.36106,7.41053,6.44204,6.70799,7.88313,5.51677,4.94331,6.50843,7.89181,3.5639,10.6337,8.20621,8.46608,8.59354,5.01349,6.52744,7.53334,5.52128,6.38784,4.1098,4.10605,4.93603,5.59294,6.34472,12.083,8.66512,5.60931,6.19381,4.33214,7.7293,7.67111,4.4195,7.58262,6.27527,4.40538,5.28087,5.2768,10.0818,6.91093,7.2793,6.34924,4.80133,7.84686,6.20327,7.04545,7.44656,6.0875,8.97248,8.14219,6.7129,7.2258,5.9104,5.84972,'PF + intermediate PH'
3.64733,5.23786,8.08235,7.70643,4.9153,7.95458,5.661,5.26472,4.24651,3.5448,8.58529,6.12846,7.56028,5.2203,8.70478,5.73863,12.1949,5.21912,7.28379,6.80421,6.82913,6.92294,7.40741,6.85672,4.71999,7.79898,7.41601,6.52508,11.7948,2.14093,5.70175,9.86965,4.95053,8.22607,5.37388,6.62069,5.4212,3.34324,6.75062,4.73996,7.68134,6.03536,8.28698,8.04396,5.33956,5.69616,5.75446,8.48156,7.89888,6.304,6.45413,7.94584,5.65138,4.87827,6.12021,8.13692,3.26246,10.4691,8.95788,8.45674,8.83109,5.87236,5.81682,7.13858,5.24745,6.10578,4.29737,3.9184,4.66515,5.49907,6.20061,12.1862,8.29572,5.41775,6.05547,4.11575,7.97814,7.3639,4.13136,7.87196,6.24313,5.02187,6.27536,5.08185,10.2733,6.73723,7.63058,5.94526,4.36674,8.01986,6.21522,7.08644,7.09238,5.9943,9.34318,8.2913,6.29116,7.2041,6.42942,5.1391,'PF + intermediate PH'
