@attribute X20847 numeric
@attribute X21107 numeric
@attribute X21305 numeric
@attribute X21345 numeric
@attribute X21724 numeric
@attribute X21972 numeric
@attribute X22088 numeric
@attribute X22118 numeric
@attribute X22193 numeric
@attribute lung.columns.tissue {normal,tumor}

@data

11.5853,9.33772,9.79335,11.4764,11.813,10.7759,8.21367,8.24158,8.14381,9.63811,9.41489,10.451,10.7796,9.05396,7.0811,7.6224,5.02382,8.50588,7.37027,11.4777,7.35525,7.78827,7.54413,5.91635,6.3857,4.43896,7.19674,8.34621,5.83102,6.11981,6.54306,7.26622,4.26108,6.22691,5.26153,6.7884,4.09079,5.59385,5.07781,11.5085,5.26551,9.32638,8.53139,6.62948,4.33845,6.29434,6.18309,9.98124,7.47063,6.98639,9.62474,8.47284,7.56257,8.77006,8.95204,7.0729,13.3508,6.03085,8.81887,7.2361,4.65355,6.35453,4.85616,5.47143,8.97683,6.29638,5.07256,4.11039,7.27025,8.27627,9.47946,5.33779,11.021,6.02307,4.77532,4.39071,10.3738,9.12821,9.76966,7.7037,9.51958,6.75267,7.62469,8.17878,7.45921,7.86939,7.10049,4.89221,7.21205,3.98217,5.01853,10.5034,10.0956,5.90934,7.33267,6.71939,9.01397,8.89,7.14708,10.1065,tumor
11.3943,8.90041,9.0973,11.0024,10.6897,10.0726,8.36597,7.91821,8.27287,8.00724,9.42854,9.29862,10.9108,8.42184,6.6433,7.59593,5.88117,7.75934,7.31247,9.92999,5.88987,8.11479,8.8033,6.54261,7.02716,4.1902,6.88193,7.86955,6.28042,6.24932,6.89923,7.93696,4.38217,6.94842,5.71007,7.0956,4.26767,6.17237,4.73222,11.2367,5.76783,9.52712,8.17204,7.05554,4.82521,7.03897,6.5207,9.92814,7.81558,7.36013,8.3698,8.29388,7.56075,9.013,8.6824,7.35013,13.5974,6.41155,8.17714,7.86348,5.19915,6.69864,5.62493,5.89981,8.67822,6.52084,5.7668,4.45786,7.47036,9.08723,9.39822,5.88029,11.635,6.53279,5.29657,4.29004,9.77051,8.67978,8.76019,7.34681,9.1401,6.18103,7.86568,8.49282,7.74628,6.98802,7.65849,5.20035,7.66615,4.25737,5.35063,9.72106,9.31719,5.9975,7.57089,7.02011,9.39253,8.03271,6.64952,10.3267,tumor
11.2356,9.04163,8.9921,11.4195,10.3623,10.1413,8.46139,7.88361,8.18834,8.8705,9.31559,9.69797,10.7163,8.52736,6.38589,7.48776,5.49817,8.36611,6.74468,10.4486,6.95412,7.89672,7.95973,6.77593,6.6921,5.05473,7.14572,7.73273,6.35661,6.45637,6.7397,7.31647,4.29867,6.70431,5.60453,7.21064,4.0968,6.2085,4.96339,11.2834,5.5909,9.8014,8.58545,5.92747,4.55499,6.73073,6.50799,10.2022,7.98099,7.31901,9.20872,8.41202,7.51616,8.09936,8.75959,7.30383,13.3227,6.52355,8.86274,7.59342,5.02154,6.91778,5.17416,5.64822,9.1273,6.64582,5.61177,4.27737,7.49811,8.85715,9.94298,5.81972,11.3228,6.58527,5.11424,4.51154,10.2486,9.02866,8.44361,7.51448,8.6862,7.21926,7.98563,7.94316,7.89346,6.94962,7.57235,5.26307,7.48038,3.95151,5.30996,10.3635,9.54698,6.06366,7.66182,7.105,9.12154,8.18017,6.7419,10.4618,tumor
12.1944,9.21341,9.76009,11.6461,10.6879,10.2127,7.94421,8.10429,8.56646,9.585,9.41481,9.89359,10.7914,8.6005,7.05861,7.34141,5.46604,8.94669,6.83178,9.65205,7.01265,7.844,7.69776,7.03331,5.64375,4.49736,7.02975,7.76128,6.24047,6.21953,6.73974,7.45506,4.47166,6.58432,5.65141,7.19851,4.14667,6.13856,4.90729,11.4506,5.49707,9.60606,8.02703,6.26228,4.62474,6.66002,6.54331,10.0079,7.97643,7.32434,9.12048,8.0865,7.67722,8.63481,8.80258,7.25776,13.4591,6.45382,7.98769,7.65239,4.81042,6.68388,5.33764,5.82087,8.99139,6.5564,5.53587,4.3405,7.53602,8.77079,9.31019,5.73229,11.6642,6.34494,5.18561,4.38027,10.0951,9.0029,9.28368,7.41647,8.69689,6.83137,8.20824,8.11092,7.74717,6.97752,7.48854,5.18586,7.35784,4.02714,5.36125,10.4656,8.71006,5.90876,7.25993,6.9461,9.12007,8.32062,6.55725,10.6333,tumor
11.9442,9.0651,9.30228,11.8009,10.347,9.90038,8.47889,8.3579,8.90777,9.21894,9.6634,10.3253,10.5297,8.81094,6.74073,7.3345,5.3562,7.78556,6.61837,10.916,6.46223,7.88566,6.4083,7.09734,5.79516,3.78978,7.17519,8.04435,6.30666,6.15691,6.6243,7.37524,4.30677,6.68026,5.56738,7.21072,4.07145,5.85042,4.99154,10.9901,5.33982,9.58538,8.35176,6.05064,4.52353,6.33004,6.52226,9.97397,7.86107,7.36581,9.50068,8.27598,7.5921,8.81966,8.45638,7.40654,13.2273,6.3471,7.96293,7.59293,4.86358,6.74865,5.14895,5.77396,8.63778,6.43332,5.49359,4.15456,7.41592,8.56247,9.18757,5.66502,11.4713,6.22342,4.89908,4.4069,9.70896,9.0682,9.15121,7.50076,8.30168,7.10363,8.21002,7.89422,8.06602,6.8557,7.47196,4.9405,7.22366,3.91248,5.28461,11.0961,9.90332,5.87587,7.32517,6.71834,9.31773,8.55911,6.66891,10.36,tumor
12.2487,9.44075,9.21901,10.7875,12.018,10.4702,8.13892,7.58559,8.36641,9.71727,8.95189,9.73066,10.819,8.85226,6.29412,7.78807,5.44265,8.05951,6.04598,10.5175,6.14107,7.72328,8.29714,6.53149,6.17348,5.25569,6.71,7.35438,6.63477,6.72764,6.70875,7.2296,4.97346,6.76225,6.10556,7.36354,4.06574,5.99136,4.74046,11.249,5.34787,10.113,8.42259,5.83193,4.72779,6.55488,6.1448,9.61726,8.36684,7.42321,9.33269,8.23199,7.75619,8.5891,8.48829,7.55014,13.5707,6.4288,9.858,7.88557,5.3542,6.88832,5.86278,5.79928,8.68992,6.52282,5.75335,4.35522,7.60464,9.12527,8.70769,5.78147,10.355,6.2818,5.20733,4.26053,9.94927,8.9254,8.60088,7.30651,8.49698,6.95674,8.35868,8.23182,7.98686,6.84543,7.57617,5.20882,7.02285,4.04394,5.71024,9.41635,9.77002,6.00342,7.73189,7.39203,9.28113,8.19499,6.62671,10.2891,tumor
12.0279,9.41385,9.55074,11.0161,10.188,10.4744,8.3175,7.89456,8.50608,9.13508,9.63248,10.2925,11.241,9.17572,7.31599,7.37654,5.3604,8.58422,6.75468,12.0719,6.30382,7.99276,9.49226,6.47892,5.84327,4.5702,7.13697,8.43416,5.9605,5.94165,6.07535,7.47958,4.26007,6.35875,5.48206,7.04046,4.02155,5.75402,4.6774,11.3061,5.52456,9.57232,8.06004,6.44871,4.41727,6.58903,6.19069,9.70967,7.44361,7.33483,8.81065,8.16003,7.66286,8.86495,8.04288,7.62666,13.5955,6.25934,7.78835,7.49228,4.71978,6.49453,5.3772,5.50333,9.56146,6.70247,5.05634,4.2098,7.29188,8.46076,9.17646,5.57925,11.485,6.28622,4.80281,4.47538,9.8346,8.80495,8.90766,7.40619,8.74319,5.80326,7.71578,8.14739,7.7462,6.84076,7.22899,5.28479,7.00729,3.97197,5.13579,10.5592,9.22902,5.92066,7.79708,6.77403,9.30708,8.82233,6.46443,10.5438,tumor
12.5219,9.11001,10.2251,11.0076,10.5633,10.5697,7.82925,7.89112,8.30622,9.39746,9.47775,10.7206,10.7971,9.25806,6.68838,7.44667,5.29314,7.69583,6.75112,8.74008,7.92214,7.93224,7.20005,6.63935,5.58578,4.48099,7.05795,8.59368,5.92042,6.10787,6.47212,7.45258,4.33521,6.37626,5.37025,6.8929,4.15504,5.7933,4.9799,11.8436,5.25933,9.73584,8.26781,6.01075,4.47799,6.42964,6.53784,9.66863,7.5908,7.0721,9.0981,8.88394,7.56123,8.58484,9.66178,7.16269,13.6021,6.24252,8.15683,7.25817,4.69327,6.42579,4.93129,5.32641,9.15359,6.57254,5.46362,4.03981,7.36839,8.39476,10.1997,5.48761,11.8373,6.39916,4.92099,4.48062,9.67153,9.14124,9.10755,7.20691,9.91078,6.17509,7.908,7.92624,7.53653,7.3198,7.55988,4.93704,7.17264,3.94635,4.98489,11.1789,9.63043,6.00453,7.89365,6.54536,9.33902,8.57229,6.64462,10.7908,tumor
11.6992,8.94154,8.78173,11.3584,9.03195,10.1801,9.08552,8.39666,8.92793,7.10359,10.4978,9.56292,10.3445,8.72288,7.10766,7.3589,5.71601,9.05107,6.56665,8.98192,5.87126,8.10313,6.52732,6.81154,6.46487,4.06054,6.44511,8.20419,6.29605,6.45918,6.47628,8.11722,4.38211,6.65372,5.63318,7.41676,4.28051,5.96847,4.81954,11.2172,6.09518,9.9036,7.87925,6.3369,4.64293,6.68254,6.12964,9.70015,7.78932,7.27817,9.46642,8.80575,7.7532,8.21294,7.21488,7.96407,13.9457,6.59577,6.90274,7.4796,5.13764,6.92314,5.60971,5.83224,9.09583,6.81819,5.53643,4.1812,7.37278,8.9222,10.5268,5.86779,12.2939,6.19933,5.15162,4.45792,9.97592,8.97304,9.78915,7.5163,9.00477,5.93508,8.34275,7.91827,8.76706,6.50839,7.76333,5.35152,7.52068,4.02581,5.26246,10.0909,9.25033,6.59037,8.57565,6.99574,9.22117,7.77349,6.65393,10.58,tumor
12.206,8.57036,8.26578,9.8036,8.36395,9.77717,9.15871,8.29661,8.42705,9.03841,9.29706,9.61052,11.6801,8.6834,6.41294,7.78872,5.60451,8.02791,6.4429,11.6497,7.66022,8.03919,7.39177,6.3976,6.24571,4.23859,7.31906,6.88057,6.31684,6.62639,6.813,7.37185,4.39632,7.36371,5.76823,7.50397,4.46531,6.2351,4.87729,10.8133,5.899,10.0086,8.34255,5.99772,4.56745,7.27621,6.64643,9.52299,7.92278,7.59014,7.78314,8.65227,7.49943,8.63621,7.96207,7.38474,13.4606,6.5251,8.26373,8.34557,4.91064,6.96661,5.37613,5.90725,8.9266,6.55057,6.24647,4.56229,7.99795,8.78885,8.48643,6.13208,11.1321,6.49677,5.23787,4.53225,9.22791,9.92325,9.27857,7.22568,7.91148,6.31884,8.01608,7.88754,8.09599,6.23969,7.53035,5.26042,7.32011,3.83337,5.50762,10.2267,9.06509,6.08144,7.72563,7.18174,9.62148,8.36977,6.80892,10.0317,tumor
