@attribute X24509 numeric
@attribute X24789 numeric
@attribute X25530 numeric
@attribute X26942 numeric
@attribute X27520 numeric
@attribute X28040 numeric
@attribute X28112 numeric
@attribute X28157 numeric
@attribute X28793 numeric
@attribute pulm.columns.disease.state {'PF + intermediate PH','PF + no PH','PF + severe PH'}

@data

6.51495,5.90439,7.67131,9.88367,6.84901,6.68316,7.78393,7.49135,4.11006,7.77734,8.09679,4.71463,3.86706,12.2422,6.27913,8.32776,11.0847,1.94071,7.65348,5.85027,1.67907,4.91867,6.42303,5.6477,8.8084,3.08974,5.20966,6.23521,4.81005,7.49235,7.93374,8.56977,5.65373,9.47653,8.72556,9.77315,3.32241,4.45246,8.67959,4.9058,6.70266,5.96499,4.44346,6.60117,8.42489,7.52903,8.69323,5.98213,8.16573,5.40531,7.10247,7.06908,2.93724,7.8856,7.78699,7.04281,4.11207,7.6252,7.39677,6.11403,7.40529,8.74217,6.40613,2.16756,2.09121,5.59219,5.43923,9.52567,6.84077,1.75336,7.2297,5.50522,4.68105,9.07847,8.52531,9.48605,3.14498,2.53561,4.82358,8.58793,6.72318,4.40215,9.00687,8.17079,8.65213,6.43428,6.56145,2.50898,2.53459,6.69627,4.91751,6.97383,6.5687,6.00416,2.247,2.51907,5.79584,6.32291,4.01757,7.70451,'PF + severe PH'
6.692,6.29628,7.34555,9.69124,6.91226,6.72167,7.61979,7.55291,4.37087,7.81089,7.97127,5.26373,4.25606,12.2358,7.2172,8.11292,11.1053,1.85457,7.45125,6.04457,1.94569,5.14707,6.59223,5.91383,8.39409,2.78276,4.1794,6.0625,5.44827,7.29882,7.86077,8.52133,5.02805,9.31369,8.95275,9.11217,3.45396,4.95755,8.6743,4.91618,6.74512,6.02131,4.48277,6.57878,8.48229,7.31673,8.66973,6.23352,8.35352,5.52314,6.87142,6.74469,3.53488,7.46798,7.67843,7.00357,4.17596,7.45005,7.37922,7.01313,7.74138,8.56982,6.91431,1.85969,2.42181,5.53684,5.97865,9.14088,6.66723,1.81005,7.51858,5.7979,4.69476,9.05215,8.59661,9.49582,3.7037,2.80375,4.74438,8.6163,5.91328,4.40906,9.06823,8.31716,8.28167,6.42455,6.72167,2.66991,2.88423,6.59089,4.5943,7.03964,6.9395,5.83141,2.30982,2.9333,6.0195,6.46597,4.57706,7.20426,'PF + severe PH'
6.7266,5.89806,7.19537,9.37627,6.88513,6.72285,7.96228,7.74739,4.64377,7.75844,7.68156,5.19385,4.52783,12.1455,6.96174,8.4429,11.0589,2.26919,7.12428,7.21328,2.1761,4.86014,6.22568,6.09247,8.24513,2.70504,4.10298,6.1099,5.46743,7.0369,7.8818,8.52228,4.99449,9.07414,8.87269,9.15255,3.28151,4.26769,8.55925,5.13463,6.87204,6.27965,4.63466,6.39003,8.42384,6.78934,8.52268,6.30621,8.12855,5.29224,6.70581,6.45771,3.83233,7.65798,7.82065,6.73285,3.84016,7.6002,7.01604,6.8306,7.93683,8.46293,6.82765,1.94846,2.4163,5.62171,6.14039,9.61344,6.88799,1.77137,7.51547,5.61581,4.35486,8.70973,8.88224,9.39691,3.63457,3.09301,4.85844,9.34661,6.59779,4.31641,8.87667,8.52998,7.88896,6.30776,6.78818,2.4026,2.99459,6.30397,4.96147,6.89902,7.58891,6.06485,2.39326,2.65013,6.33769,5.60624,4.71653,7.32946,'PF + severe PH'
6.40013,5.45567,7.53736,9.88181,7.13406,6.64866,7.11988,7.79839,4.30322,7.97261,7.84504,5.17139,4.11042,12.1418,7.00966,7.77728,11.0886,2.26464,7.47276,5.54255,2.11597,5.07089,6.61059,5.8275,8.39504,2.86498,4.88021,6.09241,5.62853,7.39075,8.13196,8.45788,5.43794,9.07503,8.86804,9.15937,3.45577,4.62848,8.49599,4.7666,6.78558,6.09552,4.39566,6.44535,8.52325,7.40499,8.81939,6.03015,8.20273,6.13872,7.17921,6.65623,3.7903,7.73804,7.85262,7.09653,4.13703,7.59943,7.04366,6.85563,7.48905,8.54125,6.94777,2.37386,2.58504,5.54703,5.49079,9.26672,6.43282,2.03913,7.38253,6.17534,4.7488,9.29234,8.71157,9.48646,3.3989,2.78729,4.84645,8.92234,6.77662,3.95166,9.03724,8.24213,8.4855,6.23951,6.53891,2.21444,2.42053,6.28316,4.83745,6.81499,6.65197,5.74788,1.99063,2.58176,5.87846,6.06277,4.66544,7.4866,'PF + severe PH'
6.37635,5.14577,7.29269,9.83165,6.86759,6.85357,7.91882,7.98403,4.14754,7.62948,7.75051,4.86491,4.22059,11.9783,7.06359,8.25957,11.0367,2.43905,7.32997,6.11382,2.17252,4.78658,6.3595,5.90088,8.19641,3.0435,4.3489,5.99642,5.10409,7.24545,7.7191,8.7796,5.36906,8.90998,8.44567,9.48334,4.35294,4.68487,8.62755,5.27154,6.86048,6.19568,4.69253,6.54535,8.50815,7.28301,8.75847,5.95824,7.63185,5.55389,7.00363,7.29789,3.57396,7.70932,7.83307,6.94593,4.19379,7.64289,7.2264,6.63331,7.40578,8.51486,7.0068,3.70222,2.20922,5.5243,5.88208,9.67733,7.12864,2.13459,7.49242,5.48077,4.96802,8.72103,8.50467,9.55528,3.18383,2.5395,4.69672,9.02572,5.49448,3.75511,9.01162,8.05022,8.04568,6.44807,7.09297,2.46462,2.50118,6.57605,4.91485,7.06552,6.52993,5.56501,2.54183,2.78334,5.70785,5.64517,4.5449,7.61291,'PF + severe PH'
6.19114,5.44113,7.4352,9.76843,6.64218,6.54938,7.92631,7.57162,4.00632,7.82905,7.6957,4.61261,4.4222,12.18,7.11039,7.96712,11.3257,2.45659,8.25183,6.37623,1.93284,4.88106,6.58065,5.64075,9.17449,2.74043,4.59574,6.18808,5.36148,7.10962,7.90367,8.854,5.61492,9.41148,8.30996,9.13583,4.14893,4.39963,8.44297,5.16547,6.62826,5.78679,4.36,7.10785,8.37449,7.73555,8.54298,5.96426,8.01857,5.8571,7.20859,6.99854,3.41683,7.56162,7.73028,6.73188,4.73063,7.59952,7.39821,6.48939,7.46757,8.25587,6.70045,2.75349,2.28603,5.50137,5.50572,9.44382,6.77961,2.00638,7.46478,5.56608,4.70607,9.06804,8.66221,9.41417,3.42992,2.72849,4.80403,8.94571,6.40471,4.19705,9.10872,8.13839,8.6695,6.31982,6.75331,2.22329,2.59539,6.36842,5.29517,6.85941,6.53327,6.00211,3.14044,2.83724,5.66179,6.20132,4.91703,7.54367,'PF + severe PH'
6.72229,5.99465,7.34794,9.56164,7.04861,6.47002,7.14503,8.11804,4.24455,7.84938,7.66159,4.2715,4.48325,11.9907,7.6283,7.56753,10.7156,2.40812,7.26182,5.60767,1.77391,5.10498,6.201,6.03439,8.12081,3.02024,4.41117,6.08311,5.27928,7.39262,7.94358,8.51979,5.27952,8.51271,8.44992,9.0203,3.90145,4.6639,8.51228,5.3632,6.87566,6.19484,4.78447,5.84491,8.25788,7.26832,8.43727,6.33443,8.05078,5.76435,6.74511,6.94195,3.56507,7.25816,8.06168,6.72745,4.47181,7.51979,6.91585,6.32216,7.94682,8.58386,7.36656,1.93228,2.00168,5.726,6.34181,9.94443,6.88268,2.13169,7.33592,6.82617,4.92161,9.11649,8.76607,9.42547,3.70245,2.82322,5.10635,8.88605,6.91845,4.53668,8.78814,8.07281,8.11219,6.15898,7.03315,2.2571,2.6403,6.37456,4.80399,6.97101,6.23534,5.86453,2.55315,2.8386,6.04256,6.01523,4.71085,7.53138,'PF + severe PH'
6.31358,5.55613,7.39046,9.79343,7.27589,6.58302,7.68509,7.34679,4.40117,7.51459,7.4711,4.73727,4.20781,12.1184,6.89264,8.29228,11.0479,2.04686,8.29844,5.9612,2.1416,4.70802,6.46704,5.95525,9.05673,2.24712,4.4521,6.277,4.71381,7.15693,7.95344,8.75431,5.227,9.26309,8.69579,9.52597,4.30665,4.75236,8.57416,5.24873,6.7296,5.96651,4.60834,6.81574,8.264,7.51703,8.50846,5.90422,8.15038,5.47809,7.03171,6.88307,3.10386,7.65148,7.71648,6.81258,4.63546,7.37459,7.21697,6.4846,7.94543,8.36122,6.94173,2.34309,2.31629,5.68925,5.40846,9.44853,7.05286,2.34095,7.42583,5.74066,4.70813,8.81013,8.48221,9.48078,3.42992,2.80342,4.63516,8.99508,5.54028,4.51122,8.9152,8.06622,8.62167,6.42022,6.88953,2.26981,2.5653,6.58707,4.68254,7.06094,6.96061,5.82703,1.83924,2.62463,5.8383,5.70411,4.808,7.40129,'PF + severe PH'
6.80124,5.0399,7.91662,10.0707,7.35354,6.67625,7.28642,7.12438,4.56682,7.67745,7.72393,5.57652,4.00862,12.4973,6.9888,7.84347,11.2757,2.02589,8.12964,6.10663,1.88261,5.13096,6.77986,6.1448,8.86141,3.10674,4.76402,6.41235,4.90593,7.01874,7.67104,8.48546,5.47813,9.73175,8.70095,8.8907,4.0106,4.55934,8.44774,5.69595,6.7603,6.3317,4.68877,6.92685,8.22832,8.24796,8.93406,6.27872,7.95262,6.2674,6.83434,7.1245,3.53535,7.98969,7.75972,7.21635,4.38826,7.48071,7.71235,6.30711,8.0325,8.76546,6.7898,1.99615,2.49502,5.81906,6.04175,9.56512,6.89065,1.61063,7.91604,6.00404,5.27235,9.13307,8.27047,9.28918,3.46073,2.989,5.25985,8.63758,6.01686,4.88225,8.67056,8.24856,8.96909,6.39464,6.67111,3.02961,2.72829,5.90889,5.10579,6.84625,6.30248,6.17024,2.51536,2.6252,6.15825,5.24966,4.99708,7.79945,'PF + intermediate PH'
6.57203,5.8358,7.56262,10.1094,6.72082,6.78075,7.96633,7.86142,4.3898,7.66393,7.88953,5.30242,3.73044,12.3933,6.96201,8.13096,11.2192,2.41891,8.28307,6.57082,2.2883,4.70878,6.30935,5.94422,8.99234,2.44237,4.74143,6.30741,5.73193,7.15762,7.81654,8.75349,5.57757,9.54265,9.02829,9.33864,4.70892,4.67546,8.64803,5.25878,6.70592,6.06756,4.6039,7.1558,8.75991,7.39068,8.54669,5.89174,8.02231,5.72302,7.10987,6.76541,3.36399,7.85429,7.76396,7.51533,4.05668,7.57736,7.44899,6.73411,7.60833,8.43978,7.02167,2.37892,2.58026,5.37246,5.8693,9.45358,6.57348,1.84025,7.36088,6.01235,4.69179,9.10045,8.40154,9.44696,3.43793,2.85375,4.79796,9.23393,6.37796,4.49778,9.14673,8.0443,8.90752,6.43756,6.57233,2.87974,2.58914,6.54809,5.01933,7.00237,6.71306,6.0913,3.0534,2.81789,5.69333,6.18942,4.99223,7.72496,'PF + intermediate PH'
