@attribute X49662 numeric
@attribute X49716 numeric
@attribute X50212 numeric
@attribute X52408 numeric
@attribute X53305 numeric
@attribute X53492 numeric
@attribute X53889 numeric
@attribute X53976 numeric
@attribute X54374 numeric
@attribute panc.columns.tissue {'normal pancreatic','PDAC tumor'}

@data

8.17607,3.8206,6.2504,2.4798,3.48626,4.85217,6.21048,3.95362,4.08922,3.72041,3.27792,3.68835,3.77126,3.9116,6.45555,10.9595,7.41304,6.37315,5.74305,6.80377,8.01901,7.6308,7.51117,5.38587,3.42442,3.29925,7.34775,8.26293,5.75645,5.78361,7.33898,5.69211,6.73927,6.34787,6.62287,9.38461,7.65796,6.37204,9.09757,10.5772,6.10248,4.94374,12.799,2.91016,4.55566,4.17565,4.20197,3.90529,4.31925,3.35863,2.918,7.3189,11.2846,5.75161,7.39757,6.25119,5.55846,7.29381,7.2058,3.71452,9.50547,6.18989,4.73546,3.15145,5.23689,5.91808,7.91227,6.25367,6.46402,5.95056,5.6545,6.75455,5.72407,3.51559,4.14139,7.73206,3.35877,6.14541,4.18227,8.14395,5.60655,4.66395,3.90951,6.43299,3.03363,5.23487,4.98088,6.56092,5.69979,5.23922,2.7702,3.6975,3.95699,4.62648,6.95209,7.04089,4.48519,3.77274,4.39049,7.76727,'PDAC tumor'
7.88951,3.48897,5.44867,2.5349,3.49509,5.78045,6.28145,4.38775,4.87051,3.49851,3.44302,3.62781,4.38692,3.14312,7.32906,10.9039,7.38716,6.69522,5.65806,6.91557,7.36505,7.61319,7.22323,5.40656,3.48897,3.43346,6.98573,7.58878,5.54539,5.59762,7.39817,6.1519,6.95428,6.2728,6.17185,9.68937,7.05528,6.45986,9.18252,10.6545,5.94829,5.43582,12.775,3.05801,5.20801,4.29989,4.31651,3.39854,3.93508,3.41261,2.98799,7.00798,11.6914,5.77659,7.32145,5.97237,5.38949,7.3659,7.31735,3.75825,9.78334,6.48464,4.60285,3.08986,4.80885,6.13312,8.12482,6.27564,6.2816,5.9741,5.41623,6.48222,6.1367,3.50903,4.47908,9.09882,3.45976,5.86679,4.14104,7.40481,5.37093,5.05059,3.97665,5.75929,3.04569,5.08529,5.23325,6.04765,4.73128,5.37896,2.64651,3.63416,3.66676,4.78005,6.84592,7.59197,4.30617,3.38392,4.24812,7.90128,'PDAC tumor'
7.83868,3.5064,6.10347,2.44412,3.86091,4.93179,6.24937,4.3779,3.80072,3.96472,3.35065,3.90336,4.19889,2.78175,6.80262,10.9105,8.01391,6.85771,5.59203,7.11273,8.9308,7.45612,7.15196,6.77932,3.89085,3.69921,7.1941,9.46875,5.85937,6.25705,8.18406,6.78258,6.88335,6.1602,7.05696,9.48071,7.48001,6.30441,8.78246,11.2357,5.79008,5.46732,12.7365,2.94637,4.73551,4.02246,4.48329,3.21165,4.78916,3.65807,2.83971,7.50554,11.2748,5.99842,7.44421,6.03524,5.68516,7.39442,6.55401,3.65826,10.2598,5.71351,4.76336,3.3321,6.59718,5.89658,7.28613,6.09674,6.4284,5.57117,5.54188,6.78483,5.93557,5.18823,4.13177,7.43813,3.21172,6.10627,4.31252,7.45049,5.46373,4.81615,3.82199,5.92774,2.97308,5.27006,5.00186,6.28922,5.16338,5.50779,2.776,3.51803,4.07942,4.84584,6.90254,6.93028,4.88974,4.14744,4.75178,7.76283,'PDAC tumor'
8.60231,3.62751,6.18028,2.42693,3.79487,5.32468,6.31033,4.21923,4.30721,3.976,3.59319,3.62385,4.13938,3.23324,7.23182,11.0628,7.47808,6.72458,5.69047,6.69052,6.59455,7.79776,6.99542,5.75477,3.34473,3.74996,6.92183,7.3865,6.20482,7.34677,7.41602,5.82405,6.55618,6.51855,6.12547,9.62381,7.02391,6.46631,9.03895,10.3716,5.75744,5.23613,12.5896,3.05954,5.13317,4.29415,4.49211,3.58458,4.55853,3.47007,2.76789,6.68507,11.503,5.54224,7.35075,6.35391,5.47251,7.29964,6.92569,3.5077,9.80595,6.6153,4.82821,3.2011,4.89449,5.85071,8.17145,6.31908,6.24972,5.63075,5.59057,7.04815,5.91264,3.65388,4.34063,8.93977,3.72568,5.85791,5.68083,7.78697,5.06712,4.84093,3.90519,6.09479,3.18851,5.26364,5.10459,6.06882,5.14472,5.06188,2.85959,4.01182,4.80711,4.73453,6.71262,8.23439,4.863,3.46954,4.57038,7.95787,'PDAC tumor'
7.94468,3.79758,5.80947,2.44608,3.78381,5.2729,6.34078,4.76581,5.49081,4.08945,3.57559,3.90691,4.11324,3.5448,8.15269,10.6487,7.48722,7.00147,5.98927,7.00244,6.87135,7.65117,6.68068,5.53117,4.22667,3.90445,6.98431,8.07997,6.09653,6.23966,7.52045,5.46598,6.74848,6.48235,6.14399,9.34472,7.22409,6.38365,9.06605,10.5309,5.27226,4.96891,13.0092,3.30242,5.41422,4.34344,4.37458,3.23361,4.63414,3.56366,3.00061,7.54893,11.6959,5.58613,6.89656,6.5801,5.91737,7.67978,6.98832,4.01217,9.95461,7.17106,5.46584,3.2885,5.07007,6.61365,7.98683,6.60444,5.85264,6.2218,5.34192,6.95678,5.81564,3.5448,4.75663,9.09563,4.10221,4.90067,4.74922,5.9639,5.54464,4.83107,4.01035,5.51384,3.68154,5.4804,5.62293,6.08181,5.14818,5.28077,2.78471,4.08802,3.6974,5.71054,6.76746,6.72737,4.6339,3.69282,4.11211,7.88601,'PDAC tumor'
7.8555,3.15982,5.99746,2.504,3.40234,5.89239,6.14973,4.27229,4.1316,3.73491,3.24519,3.4707,3.73634,3.38328,7.29544,10.9342,8.34499,6.27391,5.87171,7.38595,7.84637,8.26035,7.23128,5.35822,3.55907,3.38706,7.63341,7.53896,5.659,5.45062,8.15685,7.68082,7.22773,6.28927,6.99261,9.63656,7.49931,6.19874,9.33463,10.9255,5.87183,5.07012,12.7396,3.18086,4.34891,3.75235,4.26747,3.2647,4.55692,3.3889,2.89215,7.11862,11.5247,5.57566,7.61619,6.07268,5.79901,7.40634,7.23733,3.48481,10.5002,6.39333,4.42374,3.29528,4.83191,5.96069,7.89424,6.14935,6.54366,5.50775,5.42329,7.21786,5.84204,3.6253,4.23477,8.37914,3.24119,5.70175,4.7519,7.46375,4.91057,4.65183,3.8468,6.26877,3.23852,5.02652,4.85051,6.16864,5.46844,5.15071,2.94937,3.83425,4.51567,4.62049,6.68153,8.21447,6.1929,3.89385,4.37796,7.89596,'PDAC tumor'
8.03737,3.31629,5.54417,2.60449,3.62141,5.42257,6.17871,4.23016,6.78466,3.53257,3.4196,3.21077,3.84072,4.2001,8.14059,10.8765,7.52226,7.60203,6.37594,7.00116,5.75566,7.79756,7.18982,4.9777,3.6236,3.48037,6.39268,7.59142,5.26305,6.86342,7.76682,5.27338,6.52597,6.20391,6.25393,9.6536,7.34202,6.08604,9.84488,10.3934,6.51916,5.10855,12.8372,3.16582,4.35998,4.13525,4.44089,3.79602,4.35276,3.45603,2.80088,7.35704,11.6749,6.00734,6.94239,5.82393,5.05377,7.66529,8.10898,3.95407,9.50881,6.15487,4.88232,3.09754,5.08337,6.04972,8.63778,6.36496,6.92699,5.65429,5.4039,6.86021,5.91638,3.49234,5.17771,9.30969,4.70909,6.43484,4.40685,5.9692,5.46209,4.77872,3.75083,6.24912,3.27493,5.14537,4.98806,6.01129,5.54022,5.84496,2.71055,3.50537,3.99545,4.45322,7.07356,7.32888,4.49341,3.67821,3.88487,7.91733,'PDAC tumor'
7.92503,3.45053,6.05678,2.70021,3.46728,5.36077,6.08569,4.50286,4.38612,3.90964,3.29986,3.90336,4.08119,3.22473,7.49357,11.1093,7.72855,6.68006,6.34585,7.40243,7.09211,7.73184,6.97568,5.72815,3.75034,3.07041,7.06853,7.17717,5.67452,6.95206,7.47928,5.7849,6.45896,6.35044,6.34034,9.7906,6.93053,6.18134,9.28133,10.4521,6.0049,5.07454,12.497,3.25153,4.29887,4.17216,4.12,3.4008,4.52871,3.39129,2.77967,6.3674,11.5944,6.38282,7.32766,5.97237,5.54616,7.51305,7.48007,4.18067,9.8206,6.71885,4.81799,3.23828,5.25172,6.1157,8.19579,6.13376,6.46468,5.94989,5.39286,6.97842,5.63337,3.51229,4.91616,9.24233,4.0092,5.99977,4.71978,7.0556,5.08634,4.63793,4.03566,6.17055,3.24205,5.08131,5.18847,6.16776,5.41438,5.56004,2.78512,3.66811,5.30284,4.79176,6.81186,6.76609,5.12933,3.46015,4.15425,7.90454,'PDAC tumor'
7.90788,3.49919,6.11442,2.59179,3.61084,5.21382,6.54868,4.54616,4.47873,3.98512,3.69586,3.98116,4.4987,3.11267,7.48948,10.7705,8.17385,6.66813,6.08488,7.2189,6.34464,7.79148,7.00181,5.88583,3.63754,3.61696,7.03615,6.52037,6.07603,6.27428,7.13144,5.54323,6.45488,6.64964,6.44293,9.30118,7.27273,6.44293,8.99151,10.5734,5.85391,5.25825,12.7049,2.99293,5.34555,4.33746,4.24025,3.18206,4.50926,3.45193,2.97728,6.66063,11.8384,5.75103,6.58017,6.17063,5.36381,7.27497,7.03344,4.06791,10.1286,5.62367,4.64479,3.34181,5.2212,5.99488,8.11613,6.39189,6.22663,6.11272,4.95552,7.12663,5.4204,3.40485,4.48101,8.62908,3.82918,5.94352,4.86509,6.86752,5.37911,4.90344,4.02042,5.40624,3.30399,5.42785,5.30791,6.41387,5.14819,5.36062,2.78533,3.83532,3.96254,4.95733,6.39888,7.07103,6.27898,3.5466,4.75488,7.48,'PDAC tumor'
8.15967,3.42368,6.07927,2.60661,3.61952,5.3568,5.98036,4.12035,4.62926,3.84329,3.39884,3.54821,3.77126,3.25834,7.26844,11.0842,7.84194,6.56477,6.30991,7.57192,7.20812,7.91289,7.28796,5.47226,3.34165,3.48635,6.89985,7.19166,5.66042,7.58747,7.54632,5.41371,6.13144,6.50196,6.55725,9.621,7.33817,6.23874,9.4211,10.5673,6.47115,5.0911,12.8101,3.12331,4.44654,3.93854,4.32708,3.33095,4.25905,3.25429,2.89198,5.83316,11.7873,6.215,7.19107,6.17571,5.77326,7.42495,7.25861,4.04151,10.046,6.25899,4.51823,3.22507,4.96934,5.94143,8.35553,5.98896,7.19355,5.5147,5.8816,6.84494,5.68734,3.50224,4.39745,9.08666,4.68847,5.96815,4.78532,7.33059,5.17127,4.70744,3.98606,6.27976,3.03367,5.11042,4.83644,5.55597,5.02551,5.87974,2.69131,3.55085,5.18477,4.64669,7.36928,7.06537,5.14613,3.80391,4.22462,7.78914,'PDAC tumor'
