@attribute X31264 numeric
@attribute X31338 numeric
@attribute X31511 numeric
@attribute X32036 numeric
@attribute X32089 numeric
@attribute X32187 numeric
@attribute X32567 numeric
@attribute X32587 numeric
@attribute X33120 numeric
@attribute pulm.columns.disease.state {'PF + intermediate PH','PF + no PH','PF + severe PH','PH validation set'}

@data

4.29138,7.52099,8.25682,8.58109,9.30853,4.69978,7.53008,7.31325,4.71012,5.20537,5.22922,4.52674,11.6447,6.21528,1.59316,5.13271,1.8359,8.41598,5.88873,5.0865,2.09933,5.13982,5.7358,9.1121,1.93237,5.81819,8.88954,8.61144,8.81291,7.57737,8.02689,8.32911,7.59255,6.47946,6.46906,7.36196,6.68309,10.2567,7.34326,5.02377,2.56466,7.74775,3.42904,8.77661,6.83004,7.04891,7.87516,6.28595,6.31352,9.62093,5.52759,6.06215,8.11819,4.98093,9.558,6.60647,6.76566,6.85646,3.91728,6.89189,4.06501,5.98794,9.99938,6.42942,9.7221,2.31067,8.13918,6.83384,5.76728,4.96342,7.44441,8.01793,6.82794,3.24227,8.4249,6.17266,7.44621,3.31847,5.43439,7.12282,4.86887,5.3539,7.08522,7.93598,8.20915,7.7497,4.79013,3.77488,?,?,?,?,?,?,?,?,?,?,?,?,'PF + severe PH'
4.5836,7.43495,8.26955,8.43772,9.18263,5.01288,7.57318,7.76099,4.9336,5.77513,5.3218,4.86341,12.0955,6.38293,1.8707,5.13505,1.3509,8.59404,6.17484,5.222,2.07797,5.33238,5.68807,8.93525,1.78597,6.14679,8.71266,8.96328,8.31385,7.12724,7.98886,8.55056,7.20654,6.50897,6.47739,7.1662,6.66204,10.1502,7.40626,5.2089,2.86837,7.67888,3.41621,8.84407,6.52786,7.09249,7.83928,6.29945,6.59564,9.35929,5.63274,6.04707,8.0411,5.08047,9.57325,6.31854,6.86204,6.69132,3.98482,6.94272,4.17034,5.94964,9.92708,6.0991,9.80315,2.56497,8.44203,6.86637,5.69958,4.38997,7.70445,8.27692,7.35194,3.20355,8.37008,6.89399,7.81185,3.63674,5.9466,7.31122,5.25146,5.5092,7.12699,8.17856,8.16779,8.10112,4.96206,2.49283,?,?,?,?,?,?,?,?,?,?,?,?,'PF + severe PH'
4.71585,7.3929,8.3147,8.47612,8.88986,4.69502,7.7537,8.09324,5.45716,5.86347,5.57943,4.31791,12.0873,6.72696,1.82321,5.12232,1.42138,8.91814,6.00109,5.81501,2.01617,5.40057,5.28025,9.04963,2.20376,6.23995,8.78261,8.85749,8.12428,7.15552,8.25358,8.44481,7.11341,6.37295,6.37249,7.19321,6.84143,10.0695,7.48754,5.18172,2.78469,7.8046,4.07755,8.61495,6.54801,7.06027,7.65662,6.72483,6.67802,9.33473,5.60127,6.10625,7.75776,4.83339,9.4891,6.7512,6.94141,6.68194,3.8791,6.78248,4.19624,5.83162,9.82019,5.83575,9.67122,2.85525,8.6647,6.84563,6.24364,4.50107,7.56491,8.07079,7.09794,3.49815,8.32565,6.50069,7.39331,3.37092,5.98051,7.19456,5.33468,5.77035,7.17979,8.26271,8.17067,7.74205,4.92475,3.13773,?,?,?,?,?,?,?,?,?,?,?,?,'PF + severe PH'
4.97417,7.66603,8.74086,8.57368,9.04737,4.92308,7.31109,7.76615,4.80859,5.51694,5.49826,4.6999,12.0909,6.53751,2.04942,5.4343,1.61213,8.40164,6.28292,5.46712,2.76064,5.01196,5.98799,8.92942,2.20053,5.86588,8.77992,8.93512,8.49644,7.47431,8.10947,8.27943,7.28572,6.31442,6.67052,7.97214,6.59041,10.3374,7.50687,5.24383,2.66436,7.81644,3.73375,8.85178,6.43972,7.04932,7.63559,6.30463,6.96127,9.61909,5.55467,6.15105,8.02959,5.45765,9.39788,6.9476,6.58063,7.24478,4.02273,6.65929,4.15301,5.99048,9.76628,5.99107,9.75261,2.78833,7.92936,6.84535,5.8378,4.61728,7.43613,8.32561,7.09358,3.40433,8.24775,6.52891,7.34183,3.43465,5.54016,6.90258,4.80978,5.11325,7.03388,8.42333,8.10328,7.95004,4.94622,3.43147,?,?,?,?,?,?,?,?,?,?,?,?,'PF + severe PH'
4.68658,7.2887,8.58582,8.49135,9.07723,4.76434,7.60975,8.1153,5.06042,5.48143,5.16585,4.75138,12.0103,6.41229,1.91921,5.58566,1.91012,8.56972,6.02815,5.20465,2.4338,5.1105,5.19888,8.89086,2.03175,5.5556,8.60582,8.91203,8.30502,7.44451,8.20253,8.1057,7.30256,6.34363,6.52103,7.44371,6.69356,10.08,7.4993,5.42484,2.55985,7.73946,3.33232,8.60266,6.64265,6.81951,7.90355,6.09496,6.56325,9.22871,5.13868,5.98849,7.97128,5.30488,9.67277,6.1492,6.3863,6.42731,4.02489,6.76607,3.8352,5.92484,9.8639,6.50885,9.89452,2.51758,8.41019,6.90754,5.93241,4.56628,7.63484,8.00716,6.88373,3.64587,8.60125,6.11146,7.22605,4.043,5.80083,6.95455,4.94934,5.6467,7.02387,8.41285,8.14565,7.93191,4.86003,2.38386,?,?,?,?,?,?,?,?,?,?,?,?,'PF + severe PH'
4.80776,7.52169,8.20209,8.45382,9.05931,4.70359,7.38621,7.74976,4.91324,5.54322,5.20065,4.64754,11.9541,6.29548,1.76126,5.65872,1.58433,8.39508,5.73767,4.99858,1.96354,4.97044,5.18696,9.15668,2.14723,6.02879,8.97457,8.78994,8.90415,7.3842,8.10792,8.05124,7.36783,6.39882,6.60666,8.00663,6.20602,10.0536,7.41522,5.44999,2.91024,7.85462,3.91947,8.25036,6.33182,6.72647,7.68077,6.44254,6.42434,9.20281,5.02601,6.2409,7.90921,5.06349,9.30697,6.3289,6.52196,7.02996,4.2784,6.59877,3.98457,6.24201,9.98592,6.35689,9.84602,2.91445,8.13698,6.79284,5.68627,4.27562,7.59038,8.02538,6.81244,3.26102,8.41709,5.82843,7.1338,3.292,5.6353,7.15097,4.75629,5.52147,6.95399,8.76035,8.24381,7.57898,4.97396,3.04658,?,?,?,?,?,?,?,?,?,?,?,?,'PF + severe PH'
5.04451,7.49395,8.52663,8.47052,8.50822,4.63954,7.64464,8.03924,5.28604,5.67029,5.20578,4.77885,12.3354,6.55411,1.86253,5.47759,1.40962,8.95382,6.16974,5.65437,2.40917,4.99353,5.60001,8.82407,2.13625,6.26238,8.42496,9.15987,7.87069,7.17687,7.7943,8.48952,7.47039,6.75184,6.49606,8.38298,7.10374,10.2782,7.64328,5.2959,2.74036,7.8471,3.64803,8.63709,6.33467,6.8972,7.23989,6.48723,6.98354,9.30457,5.84262,5.85545,7.91767,5.27899,9.21224,7.06958,6.5304,6.91903,4.34252,7.09081,3.93846,6.22322,9.77018,6.14435,9.6309,2.46852,7.73886,6.82736,6.22762,4.63581,7.14963,7.7682,7.11188,3.97272,8.39704,5.7572,6.46649,3.94201,5.78591,7.20814,5.22997,5.66059,7.10322,8.02783,8.08573,8.02596,5.07278,2.77633,?,?,?,?,?,?,?,?,?,?,?,?,'PF + severe PH'
4.74663,7.5483,8.53722,8.26917,9.06584,4.73958,7.52504,7.06141,4.78767,5.40636,5.57807,4.95922,11.7118,6.39109,1.83189,5.36577,1.54652,8.63878,6.10132,5.19637,2.4495,5.29558,5.17113,9.09415,2.08661,6.05073,8.81861,8.77315,8.76073,6.99031,8.25784,8.10654,7.18326,6.21117,6.41568,8.0673,6.62433,10.0963,7.46484,5.5437,2.58586,7.89451,3.6275,8.4903,6.48363,6.88408,7.70831,6.11264,6.54184,9.13065,5.56511,5.41958,7.89674,4.83646,9.4909,6.20796,6.66093,7.03363,4.07705,6.76633,4.19783,6.16771,9.77087,6.39938,9.75959,2.28628,8.52339,6.53385,5.82807,4.4604,7.50193,7.9191,7.00083,2.93779,8.49508,6.17266,7.11777,3.82,5.60801,7.32799,4.99107,5.5536,7.15211,8.5819,8.08561,7.7773,4.81401,2.59032,?,?,?,?,?,?,?,?,?,?,?,?,'PF + severe PH'
4.76511,7.53634,8.0839,8.34111,9.27712,4.4308,7.6736,6.74915,5.11332,5.51082,5.2876,4.76756,11.3671,6.80135,1.64994,5.30105,1.3891,8.7225,6.31207,5.87247,2.36339,5.47346,5.55456,8.73067,1.79657,6.27523,9.4192,8.83159,9.84342,7.26368,7.77424,8.16114,7.64655,6.53302,5.91606,8.66575,6.93728,10.1339,7.2683,5.48031,2.95003,7.79924,4.38172,8.18635,6.2421,7.30826,7.98241,6.3344,6.81107,9.38718,5.63736,5.92687,7.88665,5.50912,9.16396,6.18322,6.84161,6.99342,4.52195,7.14235,3.99807,6.46766,9.65729,6.63896,9.74303,3.01246,7.56915,7.00532,6.0501,5.11346,7.44694,8.55876,6.814,3.26056,8.57357,6.6549,7.66569,3.10515,5.69128,7.34501,5.27458,5.8316,7.39485,8.96119,7.93426,7.87842,5.0202,2.43823,?,?,?,?,?,?,?,?,?,?,?,?,'PF + intermediate PH'
4.82466,7.36703,8.64351,8.62647,8.79228,4.91137,7.42348,7.12782,4.89441,5.13688,5.10524,4.63184,11.8883,6.44937,1.65068,4.95061,1.72595,8.42324,5.502,5.34951,2.2411,5.34612,5.3828,9.21856,2.13444,5.79639,8.87324,8.79591,8.41682,7.29309,8.25958,8.3282,7.46811,6.13368,6.55655,8.37458,6.63262,10.2931,7.06407,5.85204,2.97548,7.9082,3.80923,8.72202,6.48163,7.18659,7.99788,6.26458,6.4486,9.48015,5.65158,5.75113,8.11103,5.21841,9.59218,6.58856,7.12943,7.37054,4.09232,6.69208,4.33969,6.21047,9.68656,7.01634,9.70387,2.98664,8.15886,6.98603,5.86885,3.76739,7.66386,8.11265,6.87559,3.32182,8.52924,5.60848,7.5705,3.34456,5.48418,6.88017,5.42169,5.01601,6.9478,8.7112,8.21011,7.87128,4.8341,2.89779,?,?,?,?,?,?,?,?,?,?,?,?,'PF + intermediate PH'
