@attribute X20512 numeric
@attribute X20799 numeric
@attribute X20898 numeric
@attribute X21009 numeric
@attribute X21081 numeric
@attribute X21166 numeric
@attribute X21292 numeric
@attribute X21782 numeric
@attribute X22083 numeric
@attribute lung.columns.tissue {normal,tumor}

@data

10.0606,9.53035,10.0968,10.4649,6.11763,10.2424,9.96683,9.88478,9.39534,6.40504,7.5012,8.74087,9.47749,8.86886,8.02183,10.902,8.94929,7.75662,7.07055,9.179,9.06723,7.62962,8.80502,6.12814,7.73082,6.42168,5.29226,5.16504,9.40648,6.8731,5.66075,6.24986,7.34554,5.37785,7.57178,6.68178,8.41919,8.94172,9.04123,10.0645,8.17983,5.11541,7.50094,6.44151,7.88656,5.30611,9.24636,4.87764,7.08042,7.24211,6.77852,6.06115,6.43968,6.75635,5.61577,6.67863,6.47024,8.79018,9.96194,8.44981,8.36352,6.27047,13.7418,7.14225,5.10428,6.49049,7.52853,8.42668,7.24694,5.57583,5.40586,6.99172,5.60182,6.5606,8.68171,5.92391,7.01945,5.0624,8.48635,5.22336,5.01974,6.48558,5.79858,11.853,7.75975,8.79082,7.83061,6.20837,8.13858,4.45495,5.1235,4.81046,6.36171,8.80491,6.80493,4.39335,9.51436,9.96413,7.52069,5.82342,tumor
9.68384,9.04239,9.77445,9.94674,4.88506,9.22328,9.67994,9.94164,9.60624,5.22137,7.02059,8.04813,8.68419,9.19082,7.07932,9.89744,7.69301,7.89402,6.89601,9.39102,9.41652,7.56414,9.10195,7.12051,7.97815,6.44576,5.23709,4.28302,9.69132,7.05274,6.45222,6.00284,8.22764,5.6871,8.17138,6.79077,8.88954,7.97861,9.49536,9.58986,8.06503,6.11996,7.78958,5.61538,8.13361,5.67803,8.03754,5.5615,7.19009,7.67757,6.93931,7.14117,6.95237,7.11282,5.4024,7.62354,7.10892,9.31128,8.87347,7.34598,7.50851,6.78379,13.5216,6.62658,4.68845,7.04509,7.41836,9.31852,7.94795,5.71675,5.18957,6.21888,5.05993,6.80982,8.48297,6.5151,7.26456,5.59797,8.37314,5.80036,5.59003,7.14444,6.1729,10.9602,7.87177,8.08061,8.74792,6.54995,7.79557,5.07287,5.59781,5.03629,7.08984,9.12124,7.42476,4.56886,9.50577,9.78707,8.15665,5.54062,tumor
9.98957,9.49059,9.85584,9.82152,5.46048,9.43844,9.79256,9.48633,9.2947,6.1203,6.98562,8.02085,9.55447,9.22031,7.82284,9.16554,8.49549,7.69818,6.81191,8.89678,9.10287,7.99207,8.81485,6.50791,7.57433,6.73949,5.35758,4.59002,9.45028,7.47499,6.21445,6.53952,8.08983,5.62214,8.07966,6.90432,9.45467,8.03561,9.16637,9.93679,8.14995,5.57743,7.83608,5.70722,8.07422,5.61141,7.99734,5.30769,7.34407,7.2072,6.93178,6.65095,6.87216,7.21704,5.80357,7.24375,7.07279,9.03011,9.39567,7.38813,8.35685,6.79934,13.6496,7.25096,5.06469,7.05518,7.6012,8.89872,7.61946,5.97588,5.39049,6.57498,5.62766,6.81708,7.29701,6.42349,7.18885,5.14272,8.44579,5.77432,5.10282,7.08264,5.72401,11.7069,8.11404,8.62517,8.63897,6.27516,7.867,4.53737,5.61402,4.89822,6.86904,9.00829,6.84634,4.63135,9.74365,10.0877,7.68906,5.57233,tumor
9.91563,9.38324,9.78155,10.3168,4.69129,10.0607,9.85939,9.90563,9.33766,6.016,7.1914,8.5734,9.30315,8.88962,8.15569,9.72566,8.20609,7.87271,6.72768,9.58722,9.24589,8.14004,8.63557,6.49173,7.69831,6.45235,5.31809,4.35026,8.93476,7.18345,6.20989,6.29355,7.81907,5.57078,7.91781,6.75394,8.86442,8.28232,9.15309,10.0608,8.14049,5.52518,7.92507,5.64432,7.91905,5.70349,8.3368,5.21799,7.23905,7.58665,7.71755,6.65379,6.81546,7.03739,5.68618,7.3222,6.87891,8.95261,9.62403,7.58977,8.38179,6.74685,13.4894,6.7634,5.14884,7.14231,7.31185,8.94736,7.44356,6.06765,5.5355,6.59483,5.41612,6.75431,7.25498,6.33795,7.18254,5.31088,8.45641,5.78588,5.12642,7.00371,6.06516,9.91195,8.01637,8.30614,8.49666,6.39563,8.14375,4.62078,5.52745,4.82068,7.23697,8.83534,7.22058,4.71592,9.39175,10.1405,7.6798,5.52503,tumor
10.1934,9.65887,9.92856,9.73829,5.89215,9.53017,10.2904,10.0279,9.15075,6.9379,7.22654,8.36531,9.06399,8.97956,8.15022,9.04741,8.33485,7.86477,6.48858,9.05099,9.01421,8.02051,8.66423,6.6172,7.6507,7.04776,5.32146,5.19956,8.8756,7.04782,5.92949,6.02167,7.61644,5.37916,8.07522,6.7779,8.2732,8.18316,9.51766,10.1303,8.06956,5.44967,7.7614,6.01224,8.26557,5.82031,8.14218,5.20637,7.23695,7.58814,7.08877,6.61473,6.69991,6.72784,5.52414,7.28162,6.75245,8.91757,9.60398,8.70007,8.15081,6.56598,13.4259,6.6954,4.98912,6.7615,7.82698,8.80161,7.32109,5.87782,5.44546,8.53691,5.46567,6.98845,7.26967,5.9674,7.13358,5.22631,8.21756,5.53346,5.10719,7.08104,6.27089,11.9524,8.41547,8.49931,8.5612,6.50313,8.17313,4.54301,5.46463,4.73809,6.59835,9.48486,6.69976,4.66438,9.91098,10.192,7.67214,5.66569,tumor
10.0822,9.61107,10.0331,10.0198,5.9904,10.3538,9.6268,9.74678,9.45621,6.68714,6.82145,7.68397,9.48528,9.46286,7.54122,8.42532,8.73468,8.21212,6.78589,9.04084,9.08884,8.46857,8.65357,6.26432,7.60752,6.4706,5.55884,5.06493,9.52114,7.18563,6.26811,6.10134,7.93905,5.55641,8.12554,6.89227,9.67911,8.46897,9.43146,9.83205,7.64572,5.8606,7.59014,5.85008,8.03575,6.08308,7.95121,5.22092,7.62472,7.01389,7.19202,6.28137,7.06693,7.19121,5.60786,7.37453,7.0934,9.17641,8.60896,7.99321,7.88906,7.2006,13.4386,6.51417,4.8129,7.28107,8.59181,9.28848,7.67035,8.13086,5.26771,6.53259,5.52677,6.86242,7.79329,6.3326,7.11823,5.31177,8.53144,5.74812,5.13888,7.13357,5.85295,10.5113,8.20695,8.83107,8.48092,6.30116,7.72013,4.90104,5.64728,4.92663,7.10094,8.49951,6.9613,4.75655,9.92525,10.227,7.60399,5.69329,tumor
9.82881,9.39275,10.0041,10.3528,4.91552,9.44871,9.8194,10.135,9.18809,6.12924,7.41461,8.54843,9.30885,8.89872,7.80762,10.4595,8.0042,7.66549,6.64522,9.59663,9.02925,8.45123,8.8205,6.83057,7.79794,6.71151,5.45274,4.35632,9.37768,7.07634,5.79864,6.06126,7.76178,5.26711,7.82576,6.893,9.13657,8.31487,9.29181,10.2649,7.83727,5.44672,7.63366,5.7471,7.84972,5.59894,8.65417,4.9757,7.21407,7.36898,6.78612,6.15011,6.71833,6.8391,5.84213,7.03101,6.67912,8.49138,8.7469,7.60759,7.77927,6.62983,13.7972,7.61183,4.88396,6.77669,7.72217,8.7535,7.21074,5.83398,5.39286,6.8774,5.32672,6.78619,7.14776,6.1174,6.83103,5.37273,8.23766,5.36218,5.12911,6.79984,5.98527,12.0317,8.02316,8.29827,8.38705,6.34452,7.94458,4.52941,5.28419,4.8938,6.66445,9.21717,6.6893,4.34023,10.3339,10.012,7.88402,5.81174,tumor
10.8854,9.38731,9.64182,10.5834,4.94549,10.0277,10.0619,10.1576,9.44782,6.72712,7.75547,8.72758,8.97332,8.63108,7.91698,7.80977,7.91745,7.9887,6.55539,9.67909,9.06764,8.07386,8.6775,6.29103,7.79013,6.56242,5.37294,5.05006,8.80685,7.06799,6.00587,6.23854,7.58029,5.3203,7.53747,6.64022,9.8947,7.98113,9.33018,9.75333,8.44987,5.05462,7.70786,5.69677,8.16561,5.34061,8.37618,5.08769,7.16855,7.33878,7.02111,6.27986,6.6715,6.64191,5.89143,6.91669,6.65593,8.57889,9.511,7.68811,8.04922,6.5467,13.5102,7.31894,4.99519,6.90905,7.57092,8.51817,7.53697,5.88638,5.36157,7.71738,5.55735,6.60445,8.71306,6.00799,6.91247,5.40224,8.31931,5.47086,5.10336,6.99424,5.81349,11.3118,8.07521,8.70976,8.34995,6.11005,8.58031,4.46681,5.36723,4.78613,6.9097,8.93549,6.6314,4.41171,9.75965,10.0475,8.06776,5.63005,tumor
10.299,9.51941,9.50112,9.19935,4.53619,9.65622,10.2461,10.1706,9.08437,6.38836,7.41959,8.45819,10.6394,8.75325,7.52567,9.23802,7.25067,9.38835,6.32104,9.36338,8.91033,9.71665,8.32654,6.79105,7.55728,6.68437,5.22018,4.479,10.1771,7.31648,6.15152,5.79003,7.87511,5.8945,8.00769,6.75459,9.69745,8.26423,9.23923,10.6863,8.37444,5.86773,7.94774,5.43467,8.23519,5.90747,8.51385,5.09248,8.02627,7.25294,7.35711,6.59119,6.80985,7.32201,5.78056,8.50966,7.12099,8.29912,8.54161,7.8489,8.0906,6.69808,13.2045,6.48357,4.87588,6.87653,6.87777,9.00289,7.66604,6.08327,5.29741,6.65981,5.58187,6.97935,7.79859,6.42898,7.04008,5.6556,8.36408,5.95772,5.17052,7.31096,5.95047,9.09089,8.09553,9.90601,9.5989,6.86044,8.12134,4.51977,5.42447,5.02826,7.81494,9.94764,6.82856,4.82227,10.2911,10.3337,7.7899,5.43037,tumor
9.57183,9.39362,9.20196,10.0353,4.8278,8.9498,9.76001,8.83433,9.69617,6.31296,6.95706,8.16979,8.49942,9.09286,7.50004,7.75272,7.86526,8.20154,6.86154,8.94002,9.13589,8.16222,8.75139,6.32795,7.82472,6.73257,5.01518,4.97376,8.93552,7.109,6.70028,6.46321,8.2509,6.24322,8.20846,7.00168,9.44787,8.24355,9.10315,9.91862,8.18961,5.6113,7.79353,5.57155,8.36395,5.49706,7.95374,5.63189,7.32518,7.34081,7.10371,7.22545,6.84702,6.88385,5.81755,7.12127,7.48997,8.5609,8.92741,7.48704,8.46534,6.72981,12.8556,7.97153,5.2454,7.61674,7.39392,9.15974,7.87323,5.88794,5.82937,7.40147,6.05968,6.93688,6.5988,6.95202,7.76191,5.36883,8.56176,6.31533,5.57513,7.41556,6.24946,9.68939,7.59545,8.18471,8.75271,6.72405,8.02543,4.88594,5.80309,5.1657,7.78175,8.79219,7.55238,4.54598,10.244,10.035,7.90329,5.33668,tumor
