@attribute X29499 numeric
@attribute X29734 numeric
@attribute X30433 numeric
@attribute X30500 numeric
@attribute X30707 numeric
@attribute X31099 numeric
@attribute X31989 numeric
@attribute X33153 numeric
@attribute X33292 numeric
@attribute pulm.columns.disease.state {'PF + intermediate PH','PF + no PH','PF + severe PH','PH validation set'}

@data

5.90439,6.98368,8.2116,3.18463,6.62333,4.83256,8.13108,6.30063,6.27913,5.40507,5.16409,13.5258,6.89648,6.91786,8.98441,4.12128,6.27025,9.28206,8.29394,4.32075,8.13773,5.59806,2.38714,8.65384,7.78448,5.05189,8.74159,7.74308,7.5669,4.52264,9.53607,8.85849,5.42396,6.00268,7.96145,4.76542,9.42031,5.11221,5.26497,6.37624,9.97157,5.15928,7.69847,5.46324,4.11207,7.66568,8.82823,3.70632,7.42906,6.78364,7.26161,9.88339,6.68742,6.9567,9.34012,4.99613,4.10942,5.94599,4.17676,6.46141,8.11918,3.97068,5.91263,5.22383,4.78018,9.41753,8.92279,3.98161,5.83909,5.02236,8.5833,3.36686,1.56788,4.63752,6.92696,9.95575,4.72288,11.0898,6.25066,6.14858,8.16573,6.53457,4.85352,9.20347,4.11648,4.78834,6.64542,?,?,?,?,?,?,?,?,?,?,?,?,?,'PF + severe PH'
6.29628,6.95469,7.79841,3.34465,6.28599,4.79761,8.07688,6.38466,7.2172,5.21698,5.74724,13.3679,7.23715,6.69664,8.61409,3.71645,6.47877,8.56871,8.45187,4.69278,8.13522,5.39876,2.8337,8.55656,7.69568,5.20421,9.22421,7.98582,7.52615,4.71832,7.14335,8.71965,5.22788,6.05048,7.88822,4.43091,9.5146,5.18247,5.6777,6.59585,9.83585,5.22452,7.52093,5.6954,4.17596,7.83705,8.93133,3.61353,7.57967,7.03919,7.24083,9.89201,6.60761,6.62199,9.13898,5.07527,4.48572,6.91866,4.86667,6.02227,8.08608,4.42263,5.28016,5.09606,5.24937,9.38774,8.89995,4.49001,6.46518,4.63007,8.2981,3.00533,1.26167,4.60495,6.81181,10.0253,4.6978,11.0604,5.56058,6.06013,7.88021,6.58,5.21523,9.24134,4.17196,5.1187,6.45557,?,?,?,?,?,?,?,?,?,?,?,?,?,'PF + severe PH'
5.89806,6.93918,8.08695,2.94896,7.16381,5.1003,7.83845,6.03903,6.96174,5.30843,5.60323,13.3385,7.32691,6.58695,8.77567,4.27922,7.2909,8.06339,8.56245,4.72885,7.97274,5.62009,3.42864,8.21595,7.79597,5.21851,8.82242,8.03868,7.20554,4.86602,5.97071,8.5833,5.36864,5.64107,7.96573,4.42723,9.42433,5.57238,5.57391,6.39762,9.54333,5.04838,7.47829,6.05265,3.84016,7.97203,8.99585,4.0067,7.871,7.34249,7.01798,10.0581,6.50941,7.30978,9.14657,4.8495,4.85113,6.25437,4.23495,5.91537,8.01664,4.28864,5.80094,5.36927,5.26119,9.42549,9.01353,4.31268,6.96679,5.07291,7.90441,3.67723,2.1853,4.77816,6.89186,10.054,4.8311,10.9985,4.90845,5.76491,7.88291,6.57366,5.21509,9.22815,4.38973,4.93071,6.74942,?,?,?,?,?,?,?,?,?,?,?,?,?,'PF + severe PH'
5.45567,6.94429,7.74053,3.6528,6.49077,4.9135,8.01614,6.55956,7.00966,5.55824,5.4695,13.5631,6.93571,6.83949,8.90341,4.2688,6.60802,8.76324,8.25843,4.68635,8.17579,5.6894,2.98627,8.96021,7.8507,5.14663,9.03496,8.15532,7.58817,4.28336,9.02417,8.92947,5.00835,5.71131,7.52751,4.84478,9.31505,5.25275,5.53552,6.75067,10.0314,5.13043,7.68233,5.79881,4.13703,7.84651,8.91046,3.20183,7.74663,6.74475,7.11092,9.83389,6.95521,6.81885,9.20687,4.7562,4.32915,6.19405,4.33937,5.77722,7.82604,4.11568,5.59444,4.90726,5.20779,9.90215,8.62932,4.04479,6.35959,4.41837,8.59748,3.34811,1.75576,4.96517,6.92394,10.2212,4.70301,11.206,5.07629,5.84637,8.06048,6.30289,4.93834,9.11081,4.04439,4.91376,6.50211,?,?,?,?,?,?,?,?,?,?,?,?,?,'PF + severe PH'
5.14577,7.00858,7.89825,3.4867,6.4112,4.64362,7.90671,6.09614,7.06359,5.51784,5.84336,13.4337,7.00019,6.79322,8.911,4.0026,5.86053,8.39653,8.36906,4.34727,8.34859,5.73027,3.23679,8.81117,7.75315,5.24144,8.85291,7.84708,7.6543,4.45476,6.31517,9.0472,5.36053,6.17234,8.05857,4.59516,9.39872,5.34227,5.58522,6.55587,10.0215,5.13848,7.28152,5.79546,4.19379,7.70768,8.91469,3.4619,7.6516,6.7929,7.46468,10.3674,6.98725,6.91537,9.05535,5.22319,4.76626,7.11382,4.32438,6.00421,7.50385,4.50393,4.92157,5.05181,5.33637,9.15937,9.05819,4.16609,5.71008,4.45101,7.7682,3.69633,1.99783,4.59,6.92545,10.1607,4.71205,10.388,5.05706,6.16292,7.57467,6.3478,5.14765,8.84583,4.11273,4.90067,6.49097,?,?,?,?,?,?,?,?,?,?,?,?,?,'PF + severe PH'
5.44113,6.90942,7.99562,3.1641,6.53602,4.94264,8.04477,6.46518,7.11039,6.46407,5.20796,12.914,7.12037,6.71318,8.87032,3.72369,6.0322,8.48198,8.18506,4.57436,8.21802,6.18746,3.48888,8.72646,7.71156,5.18806,8.80951,7.83097,7.48065,4.48466,7.26247,8.89949,5.36116,5.87734,7.82656,5.10021,9.48307,5.4312,5.53696,6.7924,10.1028,5.13237,7.34116,5.60932,4.73063,7.72423,8.77556,3.33457,7.48867,6.8423,7.13095,10.0205,6.79489,6.68398,8.94888,4.46788,4.26605,7.00961,4.30226,6.84992,7.86977,3.79842,5.98677,4.96456,4.97737,9.18468,8.75119,4.07038,6.48367,4.74564,8.03828,2.65536,1.78653,4.61441,6.8319,10.661,5.39662,10.9699,6.80753,5.97604,7.89111,6.15839,4.6162,8.97311,3.87325,5.20376,7.00471,?,?,?,?,?,?,?,?,?,?,?,?,?,'PF + severe PH'
5.99465,6.83817,7.53124,3.69191,6.81736,5.05079,7.93766,6.38466,7.6283,5.55762,5.83685,12.6603,6.95485,6.61786,8.83659,4.21766,7.04628,7.71095,8.11425,4.69689,7.88627,5.44845,3.17733,9.07596,7.92843,5.31313,8.60691,8.27445,7.33583,4.6577,6.78614,8.78956,5.53584,5.83143,7.66854,4.80604,9.38925,5.34811,5.81203,6.98398,9.95335,5.38975,7.7949,5.89138,4.47181,7.97981,8.70546,3.88997,7.92065,7.18412,7.3937,9.95343,6.81638,7.11867,8.91636,5.15159,4.60235,6.17234,4.45513,5.30866,7.31713,3.91963,5.47553,5.24157,4.96843,9.82986,8.43474,4.69314,7.00313,5.1175,7.69737,3.22149,1.7855,4.81866,6.97646,10.2517,4.67668,10.9213,5.37545,5.41188,8.15936,6.59553,5.28642,8.9294,4.63295,4.87741,5.84368,?,?,?,?,?,?,?,?,?,?,?,?,?,'PF + severe PH'
5.55613,6.88901,7.9177,3.13265,6.41601,4.44059,7.94068,6.55586,6.89264,6.01411,5.35007,13.0458,6.85127,6.91966,8.83274,3.89467,6.39865,8.58412,7.94067,4.64305,8.27655,5.70943,2.63893,8.49951,7.66719,5.20532,8.88054,7.96233,7.2848,4.80042,6.48631,8.87276,5.37482,5.5534,8.08911,4.77169,9.46438,5.4002,5.56671,6.80709,10.2695,5.20771,7.55345,5.73106,4.63546,7.68368,8.74941,3.6613,7.40695,7.02684,7.21213,10.0239,7.00372,6.42769,8.79203,5.19134,4.62023,6.32573,4.17572,6.54793,7.64319,3.78296,5.55885,5.01149,4.88506,9.14318,8.9567,4.44301,6.03725,4.76261,7.75572,3.37922,1.6622,4.76308,6.95683,10.366,5.26755,11.0118,6.22968,6.34122,7.9166,6.23518,4.8138,8.89363,4.16182,4.54805,6.98839,?,?,?,?,?,?,?,?,?,?,?,?,?,'PF + severe PH'
5.0399,6.97675,8.10441,3.46972,6.15063,4.92021,8.24695,6.1829,6.9888,7.03287,5.56887,12.6168,7.08262,7.07639,9.03233,3.56022,6.4695,8.92694,7.86195,4.73993,8.34708,5.94504,2.90804,8.55606,7.81818,5.37432,8.40968,7.99937,7.54945,4.53279,6.24301,8.92403,5.5235,5.64337,7.51699,4.43181,9.35101,5.76243,5.94312,6.76435,10.2155,5.32913,7.64395,6.03244,4.38826,7.60998,8.91873,3.3578,7.14944,7.22515,7.64248,9.70915,6.29945,6.68555,8.71878,4.55254,4.85026,6.49083,4.30944,7.78554,7.31519,4.05299,5.97027,4.96192,4.93048,9.70747,8.59072,3.37774,6.22125,4.86499,8.52797,3.2116,2.53225,4.59401,7.25944,10.8593,4.80462,11.0459,6.21227,6.35872,7.88223,6.13749,5.20601,9.33672,3.87207,4.96823,6.99553,?,?,?,?,?,?,?,?,?,?,?,?,?,'PF + intermediate PH'
5.8358,7.20034,8.07533,3.72569,7.0064,4.4091,7.82108,6.23383,6.96201,7.29863,5.30654,13.2426,7.59262,6.81198,8.78934,3.20338,6.56736,8.89212,8.02615,4.09216,8.11046,5.92706,2.85629,8.95747,7.66092,5.77107,8.91796,7.70022,7.54881,4.15256,7.7959,9.00217,5.51776,5.27014,7.77277,4.46855,9.77005,5.36259,5.53466,6.75087,9.97285,5.29092,7.7335,5.53715,4.05668,7.5506,8.77979,3.36181,7.65987,6.52592,7.21671,9.81033,6.86706,6.74383,9.05106,4.91567,4.32769,6.70585,4.31538,6.94676,7.88479,3.73044,5.41753,4.93801,4.62645,10.4293,8.72504,2.94815,6.90878,4.94291,8.51947,2.78638,1.36823,4.53618,7.33432,10.8566,5.25032,11.1764,5.51086,5.97062,7.7462,7.01538,5.18496,9.0445,3.99244,4.89781,7.02914,?,?,?,?,?,?,?,?,?,?,?,?,?,'PF + intermediate PH'
